"Year","Area","Street","Street.2"
2011,"Birmingham","Birminghamrd Sc",""
2011,"Birmingham","road.Birminghamroad",""
2011,"Birmingham","road.Birminghamroad",""
2011,"Birmingham","road.Birminghamroadsutton",""
2011,"Birmingham","road.Birminghamroad Erdington",""
2011,"Birmingham","road.Birminghamroad Suttoncoldfield",""
2011,"Birmingham","road.Birminghamroad Suttoncoldfield",""
2011,"Birmingham","Bowlinggreenclose",""
2011,"Birmingham","road.Bracebridgeroad Erdington",""
2011,"Birmingham","ave.Brassingtonavenue",""
2011,"Birmingham","lane.Bromfordlane",""
2011,"Birmingham","lane.Bromfordlane Erdington B Ham",""
2011,"Birmingham","road.Brookvaleparkroad",""
2011,"Birmingham","road.Carhamptonroad Falconlodge Suttoncolfield",""
2011,"Birmingham","road.Carshaltonroad",""
2011,"Birmingham","road.Carshorltonroad",""
2011,"Birmingham","Chesterrd",""
2011,"Birmingham","road.Chesterroad",""
2011,"Birmingham","road.Chesterroad Hallsgardencentre",""
2011,"Birmingham","Churchrdatchesterrd",""
2011,"Birmingham","road.Collegeroad Kingstanding B Ham",""
2011,"Birmingham","road.Collegeroad Kingstanding B Ham",""
2011,"Birmingham","Copshillcourt Mountview Suttoncoldfield",""
2011,"Birmingham","road.Dovedaleroad Erdington B Ham",""
2011,"Birmingham","road.Downsideroad Erdington B Ham",""
2011,"Birmingham","road.Eachelhurtroad Erdington",""
2011,"Birmingham","road.Erdingtonhallroad",""
2011,"Birmingham","road.Erdingtonhallroad",""
2011,"Birmingham","str.Erdingtonhighstreet",""
2011,"Birmingham","road.Fenthamroad Erdington B Ham",""
2011,"Birmingham","road.Finchleyroad",""
2011,"Birmingham","road.Finchleyroad Kingstanding B Ham",""
2011,"Birmingham","road.Georgefrederickroad",""
2011,"Birmingham",NA,NA
2011,"Birmingham","Goodhopehospital",""
2011,"Birmingham","Gracechurchcentre",""
2011,"Birmingham","Gracechurchcentre Outsidesupercigs",""
2011,"Birmingham","Gracechurchshoppingcentre Suttoncoldfield",""
2011,"Birmingham","prk.Grassedarea Pypehayespark    ",""
2011,"Birmingham","lane.Gravelleylane",""
2011,"Birmingham","lane.Gravelleylane",""
2011,"Birmingham","lane.Gravelleylane",""
2011,"Birmingham","lane.Gravellylane Erdington Birmingham",""
2011,"Birmingham","Hairylemonpub Suttoncoldfield",""
2011,"Birmingham","Hairylemonpub Suttoncoldfield",""
2011,"Birmingham","road.Hermatigeroad",""
2011,"Birmingham","road.Hermatigeroad",""
2011,"Birmingham","Hermitagedrive",""
2011,"Birmingham","str.Highstreet",""
2011,"Birmingham","str.Highstreeterdington",""
2011,"Birmingham","str.Highstreet Erdington",""
2011,"Birmingham","str.Highstreet Erdington",""
2011,"Birmingham","str.Highstreet S C",""
2011,"Birmingham","str.Highstreet S C",""
2011,"Birmingham","Hightsterdington",""
2011,"Birmingham","Huntonhill",""
2011,"Birmingham","str.Kfcretailoutlet Erdingtonhighstreet",""
2011,"Birmingham","road.Kingsburyroad Erdington B Ham",""
2011,"Birmingham","Kingstandingcircle",""
2011,"Birmingham","Ladywellwalk Birmingham",""
2011,"Birmingham","road.Landsdownroad",""
2011,"Birmingham","road.Lichfieldroad Meregreen",""
2011,"Birmingham","road.Lichfieldroad Suttoncoldfield",""
2011,"Birmingham","road.Lindridgeroad Suttoncoldfield",""
2011,"Birmingham","lane.Littleastonlane",""
2011,"Birmingham","road.Longfordroad",""
2011,"Birmingham","road.Longfordroad Kingstanding B Ham",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparade",""
2011,"Birmingham","Lowerparadesc",""
2011,"Birmingham","Lowerparadesutton",""
2011,"Birmingham","Lowerparadesuttoncoldfield",""
2011,"Birmingham","Lowerparade ",""
2011,"Birmingham","Lowerparade Sutoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfield",""
2011,"Birmingham","Lowerparade Suttoncoldfieldtowncentre",""
2011,"Birmingham","Lowerparade Suttoncoldfieldtowncentre",""
2011,"Birmingham","Lowerparade Suttoncoldfield ",""
2011,"Birmingham","Lydhamclose",""
2011,"Birmingham","str.Millstreet",""
2011,"Birmingham","str.Millstreet Suttoncoldfield",""
2011,"Birmingham","Moorhallhotel",""
2011,"Birmingham","road.Mulberrycourtcarpark Kingsroad Kingstanding Birmingham",""
2011,"Birmingham","prk.Newhallwalkcarpark",""
2011,"Birmingham","prk.Newhallwalkcarpark",""
2011,"Birmingham","O Sh A",""
2011,"Birmingham","O Slittentree",""
2011,"Birmingham","O Slittentree S Ctowncentre",""
2011,"Birmingham","O Smoomoobar S Ctowncentre",""
2011,"Birmingham","O Smoomoobar Southparade",""
2011,"Birmingham","O Sretro",""
2011,"Birmingham","O Sretro Southparade",""
2011,"Birmingham","O Sretros",""
2011,"Birmingham","road.O Sroyalhotel Lichfieldroad",""
2011,"Birmingham","O Stemplebar",""
2011,"Birmingham","O Stemplebar",""
2011,"Birmingham","str.O Stemplebar Highstreet",""
2011,"Birmingham","O Stemplebar Lowerparadesuttoncoldfield ",""
2011,"Birmingham","O Stemplebar S Ctowncentre",""
2011,"Birmingham","O Stemplebar Suttoncoldfield Westmilands",""
2011,"Birmingham","O Sthehairylemon",""
2011,"Birmingham","Onpavementoutsidetheroyalhotel",""
2011,"Birmingham","road.Ourtsideroyalpub Lichfieldroad Suttoncoldfield",""
2011,"Birmingham","Outsideglendaletower Lyndhurstestate",""
2011,"Birmingham","road.Outsidelittentreepub Birminghamroad Suttoncoldfield ",""
2011,"Birmingham","Outsidemoomooclub Towncentre Suttoncoldfield",""
2011,"Birmingham","Outsidemoomoonightclub Southparade",""
2011,"Birmingham","Outsidetempleparade Lowerparade",""
2011,"Birmingham","Outsidethetemplebar Lowerparade Sc",""
2011,"Birmingham","Parade Suttoncoldfield",""
2011,"Birmingham","Paradesc",""
2011,"Birmingham","Paradesuttoncoldfield",""
2011,"Birmingham","Paradesuttoncoldfield",""
2011,"Birmingham","Paradesuttoncoldfield",""
2011,"Birmingham","Paradesuttontown",""
2011,"Birmingham","Parade Suttoncoldfield",""
2011,"Birmingham","Parade Suttoncoldfield",""
2011,"Birmingham","Parade Suttontowncentre",""
2011,"Birmingham","prk.Parkestoncrescent Kinsgatnding B Ham",""
2011,"Birmingham","Plantsgroveerdington",""
2011,"Birmingham","road.Pypehayesroad Pypehayes B Ham",""
2011,"Birmingham","road.Pypehayesroad Pypehayes B Ham",""
2011,"Birmingham","road.Pypehayesroad Pypehayes B Ham",""
2011,"Birmingham","str.Queenstreet",""
2011,"Birmingham","str.Queenstreet",""
2011,"Birmingham","str.Queenstreet",""
2011,"Birmingham","str.Queenstreet",""
2011,"Birmingham","str.Queenstreetsuttoncoldfieldtowncentre",""
2011,"Birmingham","road.Queslettroadeast",""
2011,"Birmingham","Redacrerdboldmere",""
2011,"Birmingham","road.Reservoirroad",""
2011,"Birmingham","Ridgeway",""
2011,"Birmingham","road.Sladeroad Erdington B Ham",""
2011,"Birmingham","road.Sladeroad Erdington B Ham",""
2011,"Birmingham","Sothparade Suttoncoldfield",""
2011,"Birmingham","Sothparade Suttoncoldfield",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
2011,"Birmingham","Southparade",""
